t	AA_t_Avg	AA_t_Err
104840	2.4877446136384318e-5	NaN
112260	-5.789007384973677e-6	NaN
120220	-1.5923404171558353e-5	NaN
128720	-1.6410909936662166e-5	NaN
137840	2.133711421728468e-6	NaN
147600	-4.238974100467807e-5	NaN
158040	1.021094205425066e-5	NaN
169240	3.773153490405079e-5	NaN
181220	2.7025763158647353e-5	NaN
194040	-8.518982075378378e-6	NaN
207780	-5.580252486050985e-6	NaN
222500	-1.8137138688562038e-6	NaN
238240	-3.636787399591279e-6	NaN
255100	-6.445046479855443e-6	NaN
273180	-1.633784438478947e-5	NaN
292520	1.4727136671444097e-5	NaN
313220	1.0698078986542958e-5	NaN
335400	-2.083946606402931e-5	NaN
359140	-6.250724327375168e-6	NaN
384560	1.3927899299950863e-5	NaN
411800	2.096936126749771e-5	NaN
440940	-1.3596854641487188e-5	NaN
472160	1.1128422260905935e-5	NaN
505600	2.8767154144182516e-5	NaN
541380	3.445383581376915e-5	NaN
579720	7.15567261069805e-7	NaN
620760	-7.511477587041071e-6	NaN
664700	1.2194880466706581e-5	NaN
711760	2.9848421296038707e-5	NaN
762160	1.6911125382101933e-5	NaN
816120	6.620975911114657e-5	NaN
