t	Om1n0m1n0_Avg	Om1n0m1n0_Err
1	0.09697092589551093	NaN
2	0.07066413432684132	NaN
3	0.05838040275963491	NaN
4	0.05104054452682649	NaN
5	0.04605818296042047	NaN
6	0.042456446389864844	NaN
7	0.03968352481945697	NaN
8	0.03745454158539324	NaN
9	0.03560791668105023	NaN
10	0.03407660677892166	NaN
11	0.032735070208636585	NaN
12	0.03157239697467912	NaN
13	0.030554302074800477	NaN
14	0.029629415511183088	NaN
15	0.028815507281690744	NaN
17	0.027375744154515824	NaN
18	0.02675956925237244	NaN
19	0.026198224348010613	NaN
20	0.025670652779964664	NaN
22	0.024715474648301816	NaN
23	0.024283859752844472	NaN
25	0.02347890161892746	NaN
27	0.022766645146495734	NaN
29	0.022140028674056955	NaN
31	0.021555183869774897	NaN
33	0.02103573073138093	NaN
35	0.02055590425672138	NaN
38	0.019874666222852555	NaN
40	0.019432693084502906	NaN
43	0.01889423837581411	NaN
46	0.01840097701007809	NaN
49	0.01793281731248214	NaN
53	0.01741800104015251	NaN
57	0.016945031435951385	NaN
61	0.01648869016805149	NaN
65	0.016085150566067574	NaN
69	0.015710285957413805	NaN
74	0.015272108121413108	NaN
80	0.014803762051417535	NaN
85	0.01446463755391586	NaN
91	0.01409296982017616	NaN
98	0.01367769718204176	NaN
105	0.013333224532830479	NaN
112	0.012993051890237028	NaN
120	0.012628486009224948	NaN
129	0.012278026907492745	NaN
138	0.011932251135388094	NaN
147	0.01164605535440616	NaN
158	0.011309639769060242	NaN
169	0.011007014197083498	NaN
181	0.01069085205700393	NaN
194	0.010381778357715754	NaN
208	0.010120504758470927	NaN
222	0.009903391154803043	NaN
238	0.009639696094212558	NaN
255	0.009382159456572003	NaN
273	0.009125569584997772	NaN
292	0.00890666480900354	NaN
313	0.008682208560465032	NaN
335	0.008443207425390009	NaN
359	0.008173154820016015	NaN
384	0.007958315633223911	NaN
411	0.0077223783369242405	NaN
441	0.00751936130296027	NaN
472	0.007316307674247402	NaN
505	0.00710895590486843	NaN
541	0.006915409491258073	NaN
579	0.0067812716006857565	NaN
620	0.006585357388883939	NaN
664	0.0063377884771893545	NaN
711	0.006224511522699039	NaN
761	0.006004584799460977	NaN
815	0.0058353368794022975	NaN
873	0.0056054326581288505	NaN
935	0.005456528796993931	NaN
1001	0.005287673685716365	NaN
1072	0.005083252353227097	NaN
1148	0.004974058189135766	NaN
1229	0.004828152908306127	NaN
1316	0.004703678238909326	NaN
1409	0.0046137475506078385	NaN
1509	0.004508472511553396	NaN
1616	0.004362828128428642	NaN
1730	0.004243026069334299	NaN
1853	0.004126734924077169	NaN
1984	0.003985089663752439	NaN
2124	0.003856020274976113	NaN
2275	0.003763500256437957	NaN
2436	0.0036783978376438986	NaN
2608	0.0036098567084260624	NaN
2793	0.0034493617709790425	NaN
2991	0.003374033156462952	NaN
3202	0.0032974823862882974	NaN
3429	0.003184534887353152	NaN
3672	0.0031335990248538836	NaN
3932	0.0030548215781331933	NaN
4210	0.0029314475849349098	NaN
4508	0.0027720071809562707	NaN
4827	0.0026925519854080204	NaN
5169	0.0025882474451746074	NaN
5535	0.0025728353329136366	NaN
5927	0.0024674773834799657	NaN
6346	0.0023263437992589453	NaN
6796	0.0023140801671438505	NaN
7277	0.0022452761536909116	NaN
7792	0.0022072356020786943	NaN
8344	0.0021367121954857238	NaN
8934	0.002005724199096115	NaN
9567	0.0018680837123866145	NaN
10244	0.0018673223634120273	NaN
10970	0.001747077538613473	NaN
11746	0.0017927307059315	NaN
12578	0.0017125949476389235	NaN
13468	0.0015753930464357802	NaN
14422	0.0014463059138614676	NaN
15443	0.0013863906183445018	NaN
16536	0.001354310794111524	NaN
17707	0.0012992002688475557	NaN
18961	0.0011921141358576248	NaN
20303	0.0012544566920336675	NaN
21740	0.0012490504615239595	NaN
23279	0.0011066973503975341	NaN
24928	0.0012419019289150457	NaN
26692	0.0011658040036842121	NaN
28582	0.0010419340454833614	NaN
30606	0.0010928283155418606	NaN
32772	0.0009388268021647272	NaN
35093	0.000687760023477868	NaN
37577	0.000795081046067958	NaN
40237	0.000467075310218501	NaN
43086	0.0006009488337407887	NaN
46137	0.0005050061467931077	NaN
49403	0.0006008802383020706	NaN
52900	0.0003727811677163295	NaN
56646	0.0003979675314849662	NaN
60656	0.0003953670555413846	NaN
64950	0.00032553172813981623	NaN
69549	0.00036891962883234264	NaN
74472	0.0002030108874851444	NaN
79745	4.082362487828339e-5	NaN
